DATE,PX LAST
2008-03-18,11.0
2008-03-19,14.125
2008-03-20,16.0875
2008-03-24,14.9325
2008-03-25,15.8125
2008-03-26,15.99
2008-03-27,15.7275
2008-03-28,15.69
2008-03-31,15.59
2008-04-01,15.4025
2008-04-02,15.58
2008-04-03,16.375
2008-04-04,16.12
2008-04-07,16.26
2008-04-08,17.0225
2008-04-09,16.4475
2008-04-10,16.5275
2008-04-11,16.5275
2008-04-14,16.42
2008-04-15,16.0875
2008-04-16,16.535
2008-04-17,16.76
2008-04-18,17.25
2008-04-21,17.7425
2008-04-22,17.57
2008-04-23,17.52
2008-04-24,18.075
2008-04-25,18.775
2008-04-28,18.9075
2008-04-29,20.22
2008-04-30,20.8625
2008-05-01,21.35
2008-05-02,20.6875
2008-05-05,21.265
2008-05-06,21.8825
2008-05-07,22.125
2008-05-08,21.825
2008-05-09,20.715
2008-05-12,20.475
2008-05-13,20.595
2008-05-14,20.5575
2008-05-15,20.5625
2008-05-16,20.5925
2008-05-19,20.83
2008-05-20,20.685
2008-05-21,20.2125
2008-05-22,19.3275
2008-05-23,19.0875
2008-05-27,19.685
2008-05-28,20.48
2008-05-29,21.3125
2008-05-30,21.59
2008-06-02,21.5175
2008-06-03,21.89
2008-06-04,21.37
2008-06-05,21.81
2008-06-06,20.9125
2008-06-09,20.535
2008-06-10,20.0775
2008-06-11,19.435
2008-06-12,19.89
2008-06-13,20.3825
2008-06-16,20.8175
2008-06-17,21.1675
2008-06-18,20.965
2008-06-19,21.0675
2008-06-20,20.8925
2008-06-23,20.265
2008-06-24,20.665
2008-06-25,20.515
2008-06-26,19.775
2008-06-27,20.65
2008-06-30,20.3275
2008-07-01,20.3525
2008-07-02,19.855
2008-07-03,19.5175
2008-07-07,18.905
2008-07-08,19.765
2008-07-09,18.9675
2008-07-10,19.3125
2008-07-11,18.6375
2008-07-14,18.145
2008-07-15,17.105
2008-07-16,18.0575
2008-07-17,18.765
2008-07-18,18.35
2008-07-21,17.975
2008-07-22,18.5125
2008-07-23,18.3125
2008-07-24,17.52
2008-07-25,17.99
2008-07-28,17.6375
2008-07-29,18.9925
2008-07-30,19.6125
2008-07-31,18.265
2008-08-01,17.9325
2008-08-04,18.125
2008-08-05,18.4
2008-08-06,17.87
2008-08-07,17.375
2008-08-08,18.15
2008-08-11,18.6975
2008-08-12,18.2
2008-08-13,18.4825
2008-08-14,18.945
2008-08-15,18.9475
2008-08-18,18.735
2008-08-19,18.435
2008-08-20,18.6425
2008-08-21,18.595
2008-08-22,18.5225
2008-08-25,18.33
2008-08-26,18.335
2008-08-27,18.6125
2008-08-28,18.9125
2008-08-29,18.975
2008-09-02,18.7475
2008-09-03,18.2625
2008-09-04,17.625
2008-09-05,17.94
2008-09-08,17.525
2008-09-09,16.8725
2008-09-10,17.26
2008-09-11,17.7375
2008-09-12,17.9125
2008-09-15,17.345
2008-09-16,16.5875
2008-09-17,16.0225
2008-09-18,16.725
2008-09-19,17.3925
2008-09-22,16.295
2008-09-23,16.725
2008-09-24,16.42
2008-09-25,16.15
2008-09-26,15.51
2008-09-29,14.45
2008-09-30,15.3475
2008-10-01,15.3275
2008-10-02,14.3975
2008-10-03,14.21
2008-10-06,13.845
2008-10-07,12.7875
2008-10-08,13.1575
2008-10-09,12.4625
2008-10-10,13.0
2008-10-13,14.7175
2008-10-14,14.4025
2008-10-15,12.4375
2008-10-16,13.2675
2008-10-17,13.055
2008-10-20,13.0025
2008-10-21,12.675
2008-10-22,12.1275
2008-10-23,12.08
2008-10-24,11.995
2008-10-27,11.6475
2008-10-28,12.4925
2008-10-29,12.6725
2008-10-30,13.5625
2008-10-31,13.8375
2008-11-03,13.1225
2008-11-04,14.9525
2008-11-05,14.1175
2008-11-06,12.8825
2008-11-07,13.375
2008-11-10,12.9975
2008-11-11,13.4475
2008-11-12,12.9375
2008-11-13,13.61
2008-11-14,13.56
2008-11-17,13.19
2008-11-18,13.66
2008-11-19,12.895
2008-11-20,12.035
2008-11-21,11.595
2008-11-24,12.43
2008-11-25,12.3825
2008-11-26,13.0
2008-11-28,13.14
2008-12-01,12.0125
2008-12-02,12.42
2008-12-03,13.11
2008-12-04,12.7025
2008-12-05,13.295
2008-12-08,14.04
2008-12-09,13.3825
2008-12-10,13.29
2008-12-11,13.0225
2008-12-12,13.2375
2008-12-15,13.1875
2008-12-16,13.6925
2008-12-17,13.84
