,PX OPEN,PX HIGH,PX LOW,PX LAST,VOLUME
1990-01-01,,,,,0.0
1990-01-02,353.39,359.69,351.98,359.69,0.0
1990-01-03,359.66,360.59,357.89,358.76,0.0
1990-01-04,358.74,358.76,352.89,355.67,0.0
1990-01-05,355.65,355.67,351.35,352.2,0.0
1990-01-08,352.19,354.24,350.54,353.79,0.0
1990-01-09,353.83,354.17,349.61,349.62,0.0
1990-01-10,349.6,349.62,344.32,347.31,0.0
1990-01-11,347.35,350.14,347.31,348.53,0.0
1990-01-12,348.49,348.53,339.49,339.93,0.0
1990-01-15,339.93,339.94,336.57,337.0,0.0
1990-01-16,336.97,340.75,333.37,340.75,0.0
1990-01-17,340.77,342.01,336.26,337.4,0.0
1990-01-18,337.39,338.38,333.98,338.19,0.0
1990-01-19,338.23,340.48,338.19,339.15,0.0
1990-01-22,339.14,339.96,330.28,330.38,0.0
1990-01-23,330.41,332.76,328.67,331.61,0.0
1990-01-24,331.51,331.71,324.17,330.26,0.0
1990-01-25,330.31,332.33,325.33,326.08,0.0
1990-01-26,326.09,328.58,321.44,325.8,0.0
1990-01-29,325.82,327.31,321.79,325.2,0.0
1990-01-30,325.11,325.73,319.83,322.98,0.0
1990-01-31,323.02,329.08,322.98,329.08,143030600.0
1990-02-01,329.07,329.86,327.76,328.79,114512800.0
1990-02-02,328.78,332.1,328.09,330.92,117955400.0
1990-02-05,330.91,332.16,330.45,331.85,107680300.0
1990-02-06,331.85,331.86,328.2,329.66,97669100.0
1990-02-07,329.58,333.76,326.55,333.75,137646400.0
1990-02-08,333.74,336.09,332.0,332.96,130537700.0
1990-02-09,333.02,334.6,332.41,333.62,115793900.0
1990-02-12,333.56,333.62,329.97,330.08,85737200.0
1990-02-13,330.09,331.61,327.92,331.02,108692400.0
1990-02-14,331.01,333.2,330.64,332.01,102333500.0
1990-02-15,331.99,335.21,331.61,334.89,113081700.0
1990-02-16,334.87,335.64,332.42,332.72,131444500.0
1990-02-20,332.62,332.72,326.26,327.99,108668300.0
1990-02-21,327.91,328.17,324.47,327.67,126290400.0
1990-02-22,327.73,330.98,325.7,325.7,138094200.0
1990-02-23,325.69,326.13,322.1,324.15,116122300.0
1990-02-26,324.15,328.67,323.98,328.67,110819600.0
1990-02-27,328.68,331.94,328.47,330.26,124048200.0
1990-02-28,330.27,333.48,330.16,331.89,136365300.0
1990-03-01,331.86,334.4,331.08,332.74,130519600.0
1990-03-02,332.72,335.54,332.72,335.54,132240800.0
1990-03-05,335.53,336.38,333.49,333.74,110816300.0
1990-03-06,333.77,337.93,333.57,337.93,113829500.0
1990-03-07,337.92,338.84,336.33,336.95,130367500.0
1990-03-08,336.98,340.66,336.95,340.27,136123300.0
1990-03-09,340.12,340.12,336.84,337.93,120170900.0
1990-03-12,337.91,339.08,336.14,338.67,89173800.0
1990-03-13,338.66,338.67,335.36,336.0,116343700.0
1990-03-14,335.99,337.63,334.93,336.87,108998300.0
1990-03-15,336.89,338.91,336.87,338.07,106222000.0
1990-03-16,338.1,341.91,338.07,341.91,192465300.0
1990-03-19,341.86,343.76,339.12,343.53,114005000.0
1990-03-20,343.51,344.49,340.87,341.57,142631900.0
1990-03-21,341.57,342.34,339.56,339.74,97730200.0
1990-03-22,339.74,339.77,333.62,335.69,138609100.0
1990-03-23,335.69,337.58,335.69,337.22,95719800.0
1990-03-26,337.22,339.74,337.22,337.63,81906200.0
1990-03-27,337.63,341.5,337.03,341.5,90706500.0
1990-03-28,341.5,342.58,340.6,342.0,125175462.0
1990-03-29,342.0,342.07,339.77,340.79,98091100.0
1990-03-30,340.79,341.41,338.21,339.94,104728200.0
1990-04-02,339.94,339.94,336.33,338.7,94867800.0
1990-04-03,338.7,343.76,338.7,343.64,114472500.0
1990-04-04,343.64,344.12,340.4,341.09,120413500.0
1990-04-05,341.09,342.85,340.63,340.73,110528000.0
1990-04-06,340.73,341.73,338.94,340.08,106018200.0
1990-04-09,340.08,341.83,339.88,341.37,82474500.0
1990-04-10,341.37,342.41,340.62,342.07,97380200.0
1990-04-11,342.07,343.0,341.26,341.92,106666700.0
1990-04-12,341.92,344.79,341.91,344.34,106304300.0
1990-04-16,344.34,347.3,344.17,344.74,112088900.0
1990-04-17,344.74,345.19,342.06,344.68,99410500.0
1990-04-18,344.71,345.33,340.11,340.72,125202900.0
1990-04-19,340.72,340.72,337.59,338.09,123720700.0
1990-04-20,338.12,338.52,333.41,335.12,148052500.0
1990-04-23,335.12,335.12,330.09,331.05,107801900.0
1990-04-24,331.22,332.97,329.71,330.36,106028100.0
1990-04-25,330.4,332.74,330.36,332.03,101221900.0
1990-04-26,332.06,333.76,330.67,332.92,109140100.0
1990-04-27,332.93,333.57,328.71,329.11,98646000.0
1990-04-30,329.06,331.31,327.76,330.8,93658600.0
1990-05-01,330.8,332.83,330.8,332.25,113449400.0
1990-05-02,332.27,334.48,332.15,334.48,107239900.0
1990-05-03,334.51,337.02,334.47,335.57,115013700.0
1990-05-04,335.58,338.46,335.17,338.39,113158950.0
1990-05-07,338.39,341.07,338.11,340.53,104518600.0
1990-05-08,340.53,342.03,340.17,342.01,106657000.0
1990-05-09,342.01,343.08,340.9,342.86,120887800.0
1990-05-10,342.87,344.98,342.77,343.82,121330800.0
1990-05-11,343.82,352.31,343.82,352.0,186686000.0
1990-05-14,352.0,358.41,351.95,354.75,183629880.0
1990-05-15,354.75,355.09,352.84,354.28,132951900.0
1990-05-16,354.27,354.68,351.95,354.0,122340900.0
1990-05-17,354.0,356.92,354.0,354.47,128121000.0
1990-05-18,354.47,354.64,352.52,354.64,130950600.0
1990-05-21,354.64,359.07,353.78,358.0,135363500.0
1990-05-22,358.07,360.5,356.51,358.43,155099500.0
1990-05-23,358.43,359.29,356.99,359.29,130539500.0
1990-05-24,359.29,359.56,357.87,358.41,118680400.0
1990-05-25,358.41,358.41,354.33,354.58,93360800.0
1990-05-29,354.56,360.65,354.55,360.65,105816800.0
1990-05-30,360.65,362.26,360.0,360.86,158255900.0
1990-05-31,360.86,361.84,360.23,361.23,119856200.0
1990-06-01,361.26,363.52,361.21,363.16,141159800.0
1990-06-04,363.16,367.85,362.43,367.4,133370100.0
1990-06-05,367.4,368.78,365.49,366.64,158007000.0
1990-06-06,366.64,366.64,364.42,364.96,126588400.0
1990-06-07,364.97,365.92,361.6,363.15,121877400.0
1990-06-08,363.15,363.49,357.68,358.71,113721600.0
1990-06-11,358.71,361.63,357.7,361.63,89931200.0
1990-06-12,361.63,367.27,361.15,366.25,117923400.0
1990-06-13,366.25,367.09,364.51,364.9,124073900.0
1990-06-14,364.9,364.9,361.64,362.9,109089800.0
1990-06-15,362.89,363.14,360.71,362.91,173128400.0
1990-06-18,362.91,362.91,356.88,356.88,104555900.0
1990-06-19,356.88,358.9,356.18,358.47,101245700.0
1990-06-20,358.47,359.91,357.0,359.1,101470800.0
1990-06-21,359.1,360.88,357.63,360.47,108880600.0
1990-06-22,360.52,363.2,355.31,355.43,136978800.0
